,Seats,PrevFG,PrevFF,PrevSF,PrevLab,PrevGre,PrevS-PBP,PrevSD,PrevRenua,PrevAontu,PrevInd,LastFG,LastFF,LastSF,LastLab,LastGre,LastS-PBP,LastSD,LastRenua,LastAontu,LastInd
Carlow-Kilkenny,5,2,1,1,0,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0
Cavan-Monaghan,5,2,1,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0
Clare,4,2,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
Cork East,4,2,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
Cork North-Central,4,2,0,2,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
Cork North-West,3,2,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Cork South-Central,4,2,1,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
Cork South-West,3,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
Donegal,5,2,1,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1
Dublin Bay North,5,2,0,2,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0
Dublin Bay South,4,2,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
Dublin Central,4,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0
Dublin Fingal,5,2,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
Dublin Mid-West,4,1,0,2,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0
Dublin North-West,3,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
Dublin Rathdown,3,2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
Dublin South-Central,4,1,0,2,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1
Dublin South-West,5,2,0,2,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0
Dublin West,4,2,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
Dun Laoghaire,4,2,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
Galway East,3,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Galway West,5,2,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2
Kerry,5,2,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2
Kildare North,4,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0
Kildare South,3,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Laois-Offaly,5,2,1,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,1
Limerick City,4,2,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
Limerick County,3,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Longford-Westmeath,4,2,1,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
Louth,5,2,0,2,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1
Mayo,4,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
Meath East,3,2,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Meath West,3,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
Roscommon-Galway,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2
Sligo-Leitrim,4,2,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
Tipperary,5,2,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2
Waterford,4,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Wexford,5,2,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1
Wicklow,5,2,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0
